window_id,symbol,start_ms,label,split,dump_type,pct_chg,vol_ratio_1h,vol_spike_count,price_momentum_4h,cvd_divergence,upper_wick_ratio,support_break,vol_trend_slope,hour_of_day,oi_chg_4h,funding_rate,long_liq_ratio_4h,btc_regime
c_4550,PENGUUSDT,1762297200000,0,test,control,,1.2782496143713367,2,0.6028741675429322,0,0.21780303030303172,0,0.12179197906616025,23,0.038583624258543156,5e-05,0.5,-1
c_4551,PENGUUSDT,1766390400000,0,test,control,,0.8256227775475325,0,0.8898534997287084,0,0.08602150537635452,0,-0.0037706894604441726,8,0.016616246884710528,1.704e-05,0.5,1
c_4552,PENGUUSDT,1771815600000,0,test,control,,2.2307427015457244,3,-5.815365927725473,0,0.07547169811320925,0,0.41331669121725484,3,0.007046113930276425,-1.65e-05,0.5,-1
c_4553,PENGUUSDT,1776096000000,0,test,control,,2.8947969969623117,4,1.5574402467232,0,0.0806451612903263,0,0.1988888945551939,16,-0.008743606554115043,4.975e-05,0.5,1
c_4554,PENGUUSDT,1779462000000,0,test,control,,2.414455800937866,2,-3.461816678722747,0,0.0,1,0.09045549128735078,15,0.00044715523031145927,-3.205e-05,0.5,0
c_4555,PENGUUSDT,1762657200000,0,test,control,,1.4885079861140131,0,-4.477511446269867,0,0.004651162790698294,1,-0.0816449220590632,3,-0.010386834452459111,3.28e-05,0.5,-1
c_4556,PENGUUSDT,1766739600000,0,test,control,,0.7375778785036495,0,-0.6458675424192668,0,0.4886363636363621,0,-0.08722631185654296,9,-0.03309126843451997,5e-05,0.5,1
c_4557,PENGUUSDT,1771621200000,0,test,control,,0.5929121792701092,2,-0.80983369486624,0,0.4246575342465833,0,0.01506171540409446,21,-0.011392162925256124,7.95e-06,0.5,0
c_4558,PENGUUSDT,1775620800000,0,test,control,,0.45754420136566154,0,-0.8190726927014844,0,0.32727272727272644,0,0.02546284976643677,4,-0.005586939096095847,5e-05,0.5,1
c_4559,PENGUUSDT,1779836400000,0,test,control,,0.42285039399583974,0,-0.609184629803186,0,0.38805970149254077,0,-0.09346924030012475,23,-0.018178358841494883,-0.00016027,0.03225364771403836,-1
c_4560,PENGUUSDT,1735455600000,0,train,control,,0.7067707786146291,0,0.6658766435302751,1,0.7491856677524422,0,-0.0307895137721207,7,-0.021311394466820992,5e-05,0.5,0
c_4561,PENGUUSDT,1742421600000,0,train,control,,0.3711778559325233,2,3.244157441574406,1,0.5975609756097578,0,-0.0006210549665025522,22,-0.026321786850590306,5e-05,0.5,1
c_4562,PENGUUSDT,1749027600000,0,train,control,,0.8746957667538744,0,-0.38789759503491184,0,0.35374149659864024,0,-0.05920268946046586,9,-0.002052909785500778,-0.00023354,0.5,0
c_4563,PENGUUSDT,1755590400000,0,train,control,,0.8767141103191931,1,0.5827055566286801,0,0.2572062084257183,0,0.06400714206911856,8,0.02073090359086706,-0.00014227,0.5,0
c_4564,PENGUUSDT,1761868800000,0,train,control,,0.451426717472537,0,3.9131164977887156,1,0.10043668122271696,0,-0.06721463289750958,0,-0.04665302976122755,-0.00026822,0.5,-1
c_4565,PENGUUSDT,1735200000000,0,train,control,,1.8743561185989817,1,-7.603871576959399,0,0.2643034825870617,1,0.18578837211111585,8,0.008285259897061864,5e-05,0.5,0
c_4566,PENGUUSDT,1742673600000,0,train,control,,5.708823193059811,1,-0.07812500000001037,0,0.44444444444444803,0,0.08422704292713634,20,0.015022063163034938,5e-05,0.5,0
c_4567,PENGUUSDT,1749949200000,0,train,control,,1.0223452129246742,0,2.045550400674836,0,0.08823529411763355,0,-0.052262583921265426,1,0.013337217738063865,-3.106e-05,0.5,0
c_4568,PENGUUSDT,1756382400000,0,train,control,,0.6882258477365429,0,-0.12755519215045247,0,0.14522821576763725,0,-0.026694897098102893,12,0.003009446997539147,-3.933e-05,0.5,1
c_4569,PENGUUSDT,1761634800000,0,train,control,,0.6225561010450232,0,0.5427088249174163,0,0.051075268817199315,0,-0.06498162466957431,7,-0.021149837255083077,-6.503e-05,0.5,-1
c_4570,PENGUUSDT,1735110000000,0,train,control,,0.45399041711316834,0,-5.507468200770567,0,0.11411042944785575,0,0.034112144834386196,7,-0.048774661928276536,5e-05,0.5,1
c_4571,PENGUUSDT,1741881600000,0,train,control,,4.446830199750877,4,8.013995334888364,0,0.0,0,0.712687305670686,16,0.15852523170927046,-4.426e-05,0.5,0
c_4572,PENGUUSDT,1749380400000,0,train,control,,1.0479695578155062,0,0.010094891984648349,0,0.06944444444445365,0,0.01240804014443109,11,-0.04510673719247903,2.27e-05,0.5,0
c_4573,PENGUUSDT,1755111600000,0,train,control,,0.6887723661921626,0,1.3739201974496134,1,0.2910532276330688,0,0.011062779084285178,19,-0.02346500322763058,5e-05,0.5,1
c_4574,PENGUUSDT,1760850000000,0,train,control,,0.9078737656360234,0,0.4121393780442173,1,0.1761363636363633,0,-0.04294567998804199,5,-0.006494525077637238,-6.853e-05,0.5,0
d_915,PLAYUSDT,1754550000000,1,train,standard,42.1359,8.71985629885472,1,38.60797144556813,0,0.019425675675675182,0,0.43842275973187933,7,,5e-05,0.5,0
d_916,PLAYUSDT,1756677600000,1,train,standard,25.0087,5.439814079473377,4,8.375437232802179,1,0.48372093023255797,0,0.2778978501382775,22,,0.0012123,0.5,0
d_917,PLAYUSDT,1760104800000,1,train,standard,39.8379,1.0971990334341133,2,2.541630148992115,1,0.2784810126582256,0,0.10984090946934455,14,,5e-05,0.5,0
d_918,PLAYUSDT,1760418000000,1,train,standard,17.7717,1.31541290935951,0,-0.21173623714458747,0,0.48076923076923156,0,-0.053655881469481886,5,,0.00011553,0.5,-1
d_919,PLAYUSDT,1766988000000,1,test,standard,16.5725,10.829182316162653,2,17.394726485635577,0,0.03348214285714378,0,0.7518089676373392,6,,0.00025405,0.5,1
d_920,PLAYUSDT,1769684400000,1,test,standard,23.7855,0.5075269766276495,0,0.10499606264764644,1,0.09110629067245193,0,-0.07292252318790231,11,,0.00053762,0.5,-1
d_921,PLAYUSDT,1770123600000,1,test,standard,21.503,0.5148186707591054,0,3.1831255992329712,1,0.35517241379310455,0,-0.19643651741633233,13,,0.00096276,0.5,0
d_922,PLAYUSDT,1770825600000,1,test,standard,34.9823,3.5256907497471848,1,-0.5150317403281829,0,0.5937500000000068,0,0.05062613952490645,16,,5e-05,0.5,-1
d_923,PLAYUSDT,1771092000000,1,test,standard,32.1622,0.9212045338914179,1,0.12990387113534552,0,0.19090909090909314,0,-0.0907810126168657,18,,-0.00089131,0.5,1
d_924,PLAYUSDT,1771426800000,1,test,standard,20.3287,0.8544524997202935,2,3.861880963198547,0,0.28000000000000225,0,0.0721757305134497,15,,0.00028558,0.5,0
d_925,PLAYUSDT,1771736400000,1,test,standard,21.9184,3.7211098268627563,2,4.458000938526511,1,0.3571428571428561,0,0.07098746135459001,5,,0.00042394,0.5,0
d_926,PLAYUSDT,1773277200000,1,test,standard,19.3383,0.44112299206301436,0,4.408523144746517,0,0.17120622568093255,0,-0.16883236682703506,1,,0.00043346,0.5,0
d_927,PLAYUSDT,1773363600000,1,test,standard,19.9088,0.963051404278545,0,5.544665359843188,0,0.23772609819121385,0,-0.05244392250423166,1,,5e-05,0.5,1
d_928,PLAYUSDT,1773997200000,1,test,standard,19.5206,1.098045627621334,0,-3.561718325176723,0,0.17857142857142194,0,0.01552813487635296,9,,5e-05,0.5,1
d_929,PLAYUSDT,1774843200000,1,test,standard,18.368,0.3575153706862558,0,3.1669090321538267,0,0.6634615384615397,0,-0.129675144695519,4,,0.00049144,0.5,0
d_930,PLAYUSDT,1775347200000,1,test,standard,16.7227,1.3533594618070963,3,-8.299595141700406,0,0.38211382113821496,0,1.0322106030208944,0,,5e-05,0.5,0
d_931,PLAYUSDT,1776279600000,1,test,standard,42.9697,28.442366619303666,3,76.26426649345828,0,0.0547870897748853,0,0.652938789391044,19,,5e-05,0.5,0
d_932,PLAYUSDT,1777017600000,1,test,standard,18.5088,1.508037455417336,1,0.8194519075765708,1,0.07528957528957303,0,0.11275616385179935,8,,0.00056448,0.5,0
d_933,PLAYUSDT,1778108400000,1,test,standard,59.0262,27.72046988919218,4,4.110949291672179,1,0.8618346545866367,0,0.25228064893984015,23,,0.00095729,0.5,0
d_934,PLAYUSDT,1778400000000,1,test,standard,25.1032,1.020979841779018,0,4.512398142469116,1,0.2834224598930469,0,0.08205325491388595,8,,0.00015891,0.5,0
d_935,PLAYUSDT,1778554800000,1,test,standard,20.1214,0.6864052895168009,0,0.31482541499713507,1,0.12648221343873597,0,-0.027698228914505095,3,,5e-05,0.5,0
d_936,PLAYUSDT,1778842800000,1,test,standard,24.8541,3.2193135989919353,2,-8.206872492586779,0,0.33096446700507565,0,0.11419983360051288,11,,-0.00019333,0.5,1
d_937,PLAYUSDT,1779278400000,1,test,standard,46.1023,1.9760168552632995,1,6.500591560404898,0,0.24647887323943518,0,0.13672552550161474,12,,0.00022247,0.5,0
d_938,PLAYUSDT,1779505200000,1,test,standard,33.7615,1.7575049605686992,0,9.221586064076023,0,0.2318087318087313,0,-0.07352826804301457,3,,-0.00105729,0.5,-1
